0;ZARZĄDZANIE GMINĄ I JEJ REPREZENTACJA;
00;Organy kolegialne i jednoosobowe gminy;
000;Rada gminy;
736;Rynek pracy;;zadanie tylko powiatu
7360;Powoływanie składu Powiatowej Rady Zatrudnienia;A;zadanie tylko powiatu
7361;Powiatowa Rada Zatrudnienia;A;"zadanie tylko powiatu współdziałanie z Radą"
7362;Analizy, obserwacje i badanie rynku pracy;A;"zadanie tylko powiatu w tym materiały otrzymywane z powiatowego urzędu pracy"
7363;Monitorowanie działalności organów i urzędów odpowiedzialnych za działanie w zakresie walki z bezrobociem i wspierania rynku pracy;A;zadanie tylko powiatu
7364;Wyznaczanie podmiotów, w których odbywana jest kara ograniczenia wolności oraz praca społecznie użyteczna;BE10;zadanie tylko powiatu
74;Ochrona praw konsumenckich;
740;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu ochrony praw konsumenckich;A;
741;Poradnictwo w zakresie ochrony praw konsumenckich;A;
742;Postępowania w zakresie praw konsumenckich;BE10;
743;Edukacja konsumencka;BE10;""
8;OCHRONA ZDROWIA I POMOC SPOŁECZNA;
80;Ochrona zdrowia;
800;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu ochrony zdrowia;A;
801;Programowanie działań oraz monitorowanie sytuacji w ochronie zdrowia;
8010;Programy w zakresie ochrony zdrowia;A;
8011;Udział w programach i projektach zewnętrznych w zakresie ochrony zdrowia;A;
8012;Analizy i oceny potrzeb zdrowotnych i stanu zdrowia mieszkańców;A;
8013;Analizy i oceny efektów realizowanych programów zdrowotnych;A;
8014;Przygotowywanie danych do Wojewódzkiego Planu Zdrowotnego;BE5;
8015;Plan zabezpieczenia medycznych działań ratowniczych;A;
802;Organizacja opieki zdrowotnej;
8020;Stan prawny i własnościowy zakładów opieki zdrowotnej;A;
8021;Rady społeczne zakładów opieki zdrowotnej;A;w tym powoływanie, materiały z prac rad
8022;Rozpatrywanie odwołań od uchwał rad społecznych;A;
8023;Nadzór nad zakładami opieki zdrowotnej;BE10;
8024;Analizowanie i ocenianie działalności zakładów opieki zdrowotnej;A;
803;Promocja zdrowia i edukacja zdrowotna;
8030;Organizacja i realizacja działań w zakresie promocji zdrowia i edukacji zdrowotnej;BE10;
8031;Współdziałanie z różnymi jednostkami organizacyjnymi zajmującymi się promocją zdrowia i edukacją zdrowotną;BE5;
804;Ubezpieczanie zdrowotne osób nieubezpieczonych;B5;w tym ich zgłaszanie do ubezpieczenia
805;Sprawy sanitarne i przeciwepidemiczne;
8050;Ochrona zdrowia publicznego przed zakażeniami i chorobami zakaźnymi;BE10;
8051;Plany działań na wypadek wystąpienia epidemii;A;
81;Pomoc społeczna;
810;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu pomocy społecznej;A;
811;Programy i analizy w zakresie pomocy społecznej;
8110;Programy w zakresie pomocy społecznej;A;
8111;Udział w programach i projektach zewnętrznych;A;
8112;Analizowanie sytuacji w zakresie pomocy społecznej;A;
812;Realizacja zadań w zakresie pomocy społecznej;
8120;Współdziałanie z jednostkami realizującymi zadania pomocy społecznej;BE10;
8121;Umowy i porozumienia z jednostkami realizującymi zadania pomocy społecznej;A;
8122;Otwarte konkursy ofert na realizację zadań z zakresu pomocy społecznej;B5;
8123;Oferty z własnej inicjatywy podmiotów zewnętrznych na realizację zadań z zakresu pomocy społecznej;B5;
8124;Realizacja przez podmioty zewnętrzne zadań z zakresu pomocy społecznej ;BE10;
8125;Opiniowanie sytuacji osób przebywających na terenie gminy dla instytucji zewnętrznych;B5;
8126;Zastępstwo prawne w sprawach z zakresu pomocy społecznej;BE10;między innymi w sprawach o roszczenia alimentacyjne
8127;Wnioskowanie w sprawach niezdolności do pracy i niepełnosprawności;BE10;
813;Praca socjalna;
8130;Poradnictwo specjalistyczne;BE10;
8131;Interwencja kryzysowa;BE10;
8132;Pomoc kombatantom i osobom represjonowanym;BE5;
8133;Pomoc cudzoziemcom, uchodźcom i repatriantom;BE5;
8134;Pomoc osobom bezdomnym;BE5;
8135;Zapobieganie patologiom społecznym;BE5;
8136;Szkolenia i poradnictwo rodzinne;BE10;
814;Profilaktyka alkoholowa;
8140;Prowadzenie świetlic środowiskowych finansowanych z profilaktyki alkoholowej;BE10;
8141;Dodatkowe zadania podejmowane w ramach profilaktyki alkoholowej;BE10;
815;Kierowanie dziecka do placówki opiekuńczo-wychowawczej oraz monitorowanie jego pobytu;BE10;
816;Udzielanie pomocy wychowankom i podopiecznym placówek opiekuńczo-wychowawczych;BE10;
817;Rodziny zastępcze;
8170;Dobór rodzin zastępczych;BE10;
8171;Opiniowanie rodzin zastępczych;BE10;
8172;Monitorowanie pobytu dziecka w rodzinie zastępczej;BE10;
8173;Rozliczenia finansowe w zakresie pobytu dziecka w rodzinie zastępczej;B10;
82;Obsługa świadczeń w zakresie pomocy społecznej;
820;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu udzielania świadczeń pomocy społecznej;A;
821;Świadczenia pieniężne;
8210;Zasiłki stałe;B5;
8211;Zasiłki okresowe (w tym specjalne);B5;
8212;Zasiłki celowe (w tym specjalne);B5;
8213;Zasiłki i pożyczki w celu ekonomicznego usamodzielnienia;B5;
8214;Zasiłki celowe w związku z klęską żywiołową lub ekologiczną;B5;
8215;Zasiłki celowe w związku ze zdarzeniem losowym;B5;
8216;Zasiłki celowe na pokrycie wydatków na świadczenia zdrowotne;B5;
8217;Opłacanie składki na ubezpieczenia emerytalne i rentowe;B5;
822;Świadczenia niepieniężne;
8220;Udzielanie pomocy rzeczowej;B5;
8221;Sprawienie pogrzebu;B5;
8222;Udzielanie schronienia;B5;
8223;Dożywianie;B5;
8224;Udzielanie posiłku potrzebującym;B5;
8225;Zapewnianie usług opiekuńczych, w tym specjalistycznych;B5;
8226;Kierowanie do domów pomocy społecznej;B5;
8227;Kierowanie do ośrodków wsparcia;B5;
8228;Przyznawanie pobytu w mieszkaniu chronionym;B5;
823;Sprawy osób niepełnosprawnych rozpatrywane na poziomie gminy;BE5;
824;Obsługa dodatków mieszkaniowych;B5;
825;Realizacja świadczeń rodzinnych;
8250;Zasiłki rodzinne i dodatki do zasiłków rodzinnych;B10;
8251;Zasiłki pielęgnacyjne;B10;
8252;Świadczenia pielęgnacyjne;B10;
8253;Jednorazowa zapomoga z tytułu urodzenia się dziecka;B10;
8254;Zapomoga finansowana ze środków własnych gminy z tytułu urodzenia się dziecka;B10;
826;Teczki zbiorcze na dokumentację wnioskodawców świadczeń pomocy społecznej i świadczeń rodzinnych;BE5;klasa może być wybrana jedynie w systemie tradycyjnym
827;Windykacja i egzekucja nienależnie pobranych świadczeń pomocy społecznej;B10;
828;Obsługa osób korzystających ze świadczeń i dodatków;
8280;Informowanie jednostek zewnętrznych o osobach korzystających ze świadczeń lub dodatków;B5;na przykład ZUS, Policja, urząd pracy
8281;Zaświadczenia dla świadczeniobiorców;B5;
8282;Listy wypłat świadczeń ze składką na ZUS;B50;
8283;Listy wypłat bez składki na ZUS;B5;
8284;Rozliczenia składek na ZUS;B10;
8285;Zgłoszenia świadczeniobiorców do ZUS;B10;
8286;Obsługa finansowa świadczeń;B5;
83;Obsługa pozostałych świadczeń ;
830;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu pozostałych świadczeń;A;
831;Zaliczka alimentacyjna;
8310;Planowanie i sprawozdawczość w zakresie zaliczki alimentacyjnej;A;
8311;Zaliczka alimentacyjna;B10;
8312;Windykacja i egzekucja nienależnie pobranej zaliczki alimentacyjnej;B5;
8313;Egzekucja zaliczki alimentacyjnej od dłużników alimentacyjnych;B10;
8314;Zaświadczenia w sprawach zaliczki alimentacyjnej;B5;
832;Świadczenia z funduszu alimentacyjnego;
8320;Świadczenia z funduszu alimentacyjnego;B10;
8321;Postępowanie wobec dłużników alimentacyjnych;B10;
8322;Wpływanie na aktywizację zawodową dłużników alimentacyjnych;B10;
8323;Postępowanie w zakresie zwrotu przez dłużnika alimentacyjnego należności z tytułu wypłaconych świadczeń z funduszu alimentacyjnego;B10;
8324;Windykacja i egzekucja nienależnie pobranych świadczeń z funduszu alimentacyjnego;B5;
8325;Egzekucja świadczeń z funduszu alimentacyjnego;B10;
8326;Planowanie i sprawozdawczość w zakresie świadczeń z funduszu alimentacyjnego;A;
84;Rehabilitacja zawodowa i społeczna osób niepełnosprawnych;
840;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu rehabilitacji zawodowej i społecznej;A;
841;Zagadnienia ogólne w zakresie rehabilitacji zawodowej i społecznej osób niepełnosprawnych;
8410;Programy działania na rzecz osób niepełnosprawnych;A;
8411;Realizacja i monitorowanie programów na rzecz osób niepełnosprawnych;A;
8412;Zadania finansowane ze środków PFRON;BE10;
842;Zespół do spraw orzekania o niepełnosprawności;;zadanie tylko powiatu
8420;Powoływanie i odwoływanie członków zespołu do spraw orzekania niepełnosprawności;A;zadanie tylko powiatu
8421;Orzekanie o stopniu niepełnosprawności;B10;zadanie tylko powiatu
843;Społeczna rada do spraw osób niepełnosprawnych;A;
844;Realizacja zadań z zakresu rehabilitacji zawodowej dla instytucji;
8440;Zwrot kosztów wynagrodzeń osób niepełnosprawnych i składek na ubezpieczenie społeczne;B10;
8441;Zwrot kosztów przystosowania stanowisk pracy, adaptacji pomieszczeń i urządzeń do potrzeb osób niepełnosprawnych oraz kosztów zatrudnienia pracownika pomagającego pracownikowi niepełnosprawnemu ;BE10;
845;Realizacja zadań z zakresu rehabilitacji zawodowej dla osób fizycznych;BE10;
846;Realizacja zadań z zakresu rehabilitacji społecznej dla instytucji;;zadanie tylko powiatu
8460;Dofinansowanie kosztów tworzenia i działania warsztatów terapii zajęciowej;BE10;zadanie tylko powiatu
8461;Dofinansowanie sportu, kultury, rekreacji i turystyki osób niepełnosprawnych;BE10;zadanie tylko powiatu
8462;Dofinansowanie sprzętu rehabilitacyjnego;B10;zadanie tylko powiatu
847;Realizacja zadań z zakresu rehabilitacji społecznej dla osób fizycznych;;zadanie tylko powiatu
8470;Dofinansowanie uczestnictwa dorosłych osób niepełnosprawnych i ich opiekunów w turnusach rehabilitacyjnych;B10;zadanie tylko powiatu
8471;Dofinansowanie uczestnictwa dzieci niepełnosprawnych i ich opiekunów w turnusach rehabilitacyjnych;B10;zadanie tylko powiatu
8472;Dofinansowanie sprzętu rehabilitacyjnego ;B10;zadanie tylko powiatu
8473;Dofinansowanie przedmiotów ortopedycznych i środków pomocniczych ;B10;zadanie tylko powiatu
8474;Dofinansowanie likwidacji barier architektonicznych ;BE10;zadanie tylko powiatu
8475;Dofinansowanie likwidacji barier w komunikowaniu się ;BE10;zadanie tylko powiatu
8476;Dofinansowanie likwidacji barier technicznych ;BE10;zadanie tylko powiatu
